Arc Length (m),Radius (m),Curvature (1/m),Angle (deg),Coordinates
876.804340,305.460803,0.00327374,164.463616,"[<QgsPointXY: POINT(8125514.72492816764861345 2177353.61956107243895531)>, <QgsPointXY: POINT(8125694.47375517152249813 2177380.80883577791973948)>, <QgsPointXY: POINT(8125797.1873705992475152 2177365.27210270939394832)>, <QgsPointXY: POINT(8125881.55926898960024118 2177295.35695784958079457)>, <QgsPointXY: POINT(8125943.92110692802816629 2177159.41156396735459566)>, <QgsPointXY: POINT(8125892.56429921369999647 2176984.6260283631272614)>, <QgsPointXY: POINT(8125866.88589535560458899 2176837.03057977464050055)>]"
1497.338779,866.831566,0.00115363,98.971007,"[<QgsPointXY: POINT(8125775.17731015011668205 2176444.74286988750100136)>, <QgsPointXY: POINT(8125643.11694745626300573 2175994.20439013326540589)>, <QgsPointXY: POINT(8125657.79032108839601278 2175737.86819757241755724)>, <QgsPointXY: POINT(8125973.26785419415682554 2175365.02159458119422197)>, <QgsPointXY: POINT(8126178.69508505146950483 2175170.8334905905649066)>]"
877.119409,825.576347,0.00121128,60.872917,"[<QgsPointXY: POINT(8125841.20749149844050407 2175497.07061441894620657)>, <QgsPointXY: POINT(8126075.98146962374448776 2175264.04353818623349071)>, <QgsPointXY: POINT(8126164.02171142026782036 2175100.92624846007674932)>, <QgsPointXY: POINT(8126215.37851913459599018 2174743.62649584282189608)>]"
390.640421,1453.378381,0.00068805,15.400014,"[<QgsPointXY: POINT(8126237.3885795883834362 2174495.07402231311425567)>, <QgsPointXY: POINT(8126266.73532685451209545 2174304.77818411169573665)>, <QgsPointXY: POINT(8126270.40367026161402464 2174106.71714832819998264)>]"
782.319396,1330.741840,0.00075146,33.683167,"[<QgsPointXY: POINT(8126259.39864003751426935 2173636.81570869637653232)>, <QgsPointXY: POINT(8126252.06195322051644325 2173201.87574107758700848)>, <QgsPointXY: POINT(8126347.43888183310627937 2172867.91058565769344568)>]"
295.529143,484.636184,0.00206340,34.938730,"[<QgsPointXY: POINT(8126344.68762427568435669 2172333.48118999600410461)>, <QgsPointXY: POINT(8126348.35596768278628588 2172236.40204066131263971)>, <QgsPointXY: POINT(8126364.86351302079856396 2172154.85592974908649921)>, <QgsPointXY: POINT(8126412.55197732616215944 2172050.01143245445564389)>]"
592.043539,922.163671,0.00108441,36.784789,"[<QgsPointXY: POINT(8126451.0695831123739481 2171978.17386248568072915)>, <QgsPointXY: POINT(8126553.78319854103028774 2171747.13050408521667123)>, <QgsPointXY: POINT(8126568.45657217502593994 2171651.99580128863453865)>, <QgsPointXY: POINT(8126579.46160239912569523 2171409.30734039982780814)>]"
713.522376,1808.773378,0.00055286,22.601958,"[<QgsPointXY: POINT(8126579.46160239912569523 2171446.19579131854698062)>, <QgsPointXY: POINT(8126584.96411751210689545 2171236.51500154566019773)>, <QgsPointXY: POINT(8126696.84859146270900965 2170745.32718418538570404)>]"
382.944831,710.016468,0.00140842,30.902273,"[<QgsPointXY: POINT(8126661.99932908359915018 2170896.75926025398075581)>, <QgsPointXY: POINT(8126700.51693487074226141 2170710.38148783892393112)>, <QgsPointXY: POINT(8126687.67773294169455767 2170518.18127971142530441)>]"
394.531689,723.809424,0.00138158,31.230597,"[<QgsPointXY: POINT(8126682.1752178268507123 2170481.29458820074796677)>, <QgsPointXY: POINT(8126669.33601589780300856 2170391.99025619123131037)>, <QgsPointXY: POINT(8126673.00435930583626032 2170287.15525890234857798)>, <QgsPointXY: POINT(8126684.00938952993601561 2170213.3828215436078608)>, <QgsPointXY: POINT(8126702.35110657196491957 2170143.49340198561549187)>, <QgsPointXY: POINT(8126717.02448020502924919 2170093.01786615699529648)>]"
293.849901,877.809632,0.00113920,19.179966,"[<QgsPointXY: POINT(8126909.61250913422554731 2169252.42529748054221272)>, <QgsPointXY: POINT(8126935.2909129923209548 2169118.47740924125537276)>, <QgsPointXY: POINT(8126990.31606411468237638 2168970.94167118147015572)>]"
382.546169,1974.910751,0.00050635,11.098365,"[<QgsPointXY: POINT(8127162.72820429597049952 2168472.04620568966493011)>, <QgsPointXY: POINT(8127239.76341586746275425 2168295.39756746543571353)>, <QgsPointXY: POINT(8127298.45691039972007275 2168114.86819675425067544)>]"
309.831906,1180.661410,0.00084698,15.035691,"[<QgsPointXY: POINT(8127492.87911103665828705 2167489.82243854179978371)>, <QgsPointXY: POINT(8127514.8891714857891202 2167332.59358736453577876)>, <QgsPointXY: POINT(8127555.24094897601753473 2167187.01244886917993426)>]"
459.036452,715.795353,0.00139705,36.743535,"[<QgsPointXY: POINT(8127613.93444350548088551 2166985.14173638774082065)>, <QgsPointXY: POINT(8127676.29628144484013319 2166806.56554137449711561)>, <QgsPointXY: POINT(8127841.37173481378704309 2166593.05267312843352556)>]"
1227.672188,2275.393295,0.00043948,30.913528,"[<QgsPointXY: POINT(8128219.21110585983842611 2165164.51764139626175165)>, <QgsPointXY: POINT(8128167.85429814644157887 2164698.71362385293468833)>, <QgsPointXY: POINT(8128226.54779267683625221 2164287.26265940209850669)>, <QgsPointXY: POINT(8128307.25134765729308128 2163953.45032743876799941)>]"
2090.238340,1962.003417,0.00050968,61.040584,"[<QgsPointXY: POINT(8127698.30634189024567604 2166787.15518397837877274)>, <QgsPointXY: POINT(8128182.52767177112400532 2166057.33977129962295294)>, <QgsPointXY: POINT(8128226.54779267031699419 2165544.9325076574459672)>, <QgsPointXY: POINT(8128182.52767177112400532 2164846.21702598873525858)>]"
869.568360,748.648984,0.00133574,66.550010,"[<QgsPointXY: POINT(8108743.9759517153725028 2150648.29587329179048538)>, <QgsPointXY: POINT(8108898.04637486021965742 2150822.84569238685071468)>, <QgsPointXY: POINT(8108978.74992984067648649 2150927.57632901705801487)>, <QgsPointXY: POINT(8109011.7650205148383975 2151059.46014798246324062)>, <QgsPointXY: POINT(8109008.09667710494250059 2151241.77159253554418683)>, <QgsPointXY: POINT(8109011.7650205148383975 2151427.96375234145671129)>]"
